title,release_year,rating,popularity,genres,poster_url
Thumbelina,1994,6.408,5.4275,"['Animation', 'Fantasy', 'Romance', 'Music', 'Family']",https://image.tmdb.org/t/p/w500/eBvSSfwAKgcjF4eyaeNSzTCpfaF.jpg
Junior,1994,5.178,5.0916,"['Comedy', 'Science Fiction']",https://image.tmdb.org/t/p/w500/swxxtzYc60qqnFhfWMFdmx9QXvY.jpg
Better Gay Sex,1994,2.0,4.1335,[],https://image.tmdb.org/t/p/w500/prgC0s1VNjpfoi9siT4ZO0jHHS9.jpg
Sailor Moon S the Movie: Hearts in Ice,1994,7.7,4.8871,"['Animation', 'Fantasy', 'Action', 'Romance', 'Comedy']",https://image.tmdb.org/t/p/w500/8HLrjXHz5LhmIMiahoC3S55bSim.jpg
"The Adventures of Priscilla, Queen of the Desert",1994,7.284,5.1112,"['Drama', 'Comedy']",https://image.tmdb.org/t/p/w500/kJ7syYXEJgSBmBfSnF3Can9cK1J.jpg
The Wicked Reporter 2: The Rebirth of Horserace Betting,1994,8.8,4.1438,['Crime'],https://image.tmdb.org/t/p/w500/kXPG0WyehE9OVdoIzPmOY5K9mWj.jpg
The Fantastic Four,1994,4.3,4.074,"['Action', 'Science Fiction', 'Adventure']",https://image.tmdb.org/t/p/w500/5Pv3CqMKxoKo9052aWrvFAM7kfK.jpg
Maverick,1994,6.881,5.5596,"['Action', 'Adventure', 'Comedy', 'Drama', 'Western']",https://image.tmdb.org/t/p/w500/mTVbGGi5PIexmxVzeyFd2RYKwfM.jpg
The Return of Jafar,1994,6.2,4.4838,"['Family', 'Adventure', 'Animation', 'Romance']",https://image.tmdb.org/t/p/w500/7SC793qtORB6YL4mu0F5o3hfjDQ.jpg
Little Women,1994,7.3,5.2998,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/1ZzH1XMcKAe5NdrKL5MfcqZHHsZ.jpg
Street Fighter,1994,4.617,4.006,"['Action', 'Adventure', 'Comedy', 'Thriller']",https://image.tmdb.org/t/p/w500/6yh95dD2Y6uWAlPfWCZZygBM1ec.jpg
Beverly Hills Cop III,1994,5.871,4.5312,"['Action', 'Comedy', 'Crime']",https://image.tmdb.org/t/p/w500/7vIpCkgGEfk5LZwm78nMxswLJRH.jpg
Milk Money,1994,6.356,4.5658,"['Comedy', 'Romance', 'Drama']",https://image.tmdb.org/t/p/w500/od8SCOMLDq4iRYaHNqihQVn1SNE.jpg
The Shadow,1994,6.057,4.9144,"['Fantasy', 'Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",https://image.tmdb.org/t/p/w500/xAbFJH3vQYZvUyzzGAtG4OLy492.jpg
The Swan Princess,1994,6.576,3.3159,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy']",https://image.tmdb.org/t/p/w500/tmpO3vk8WguFOE4UXESGdWwHQOX.jpg
Emmanuelle in Space 3: A Lesson in Love,1994,5.2,3.6312,"['Science Fiction', 'Romance']",https://image.tmdb.org/t/p/w500/dOGzeQzqV0l8UwvaeEsADUKCJrz.jpg
