brand,battery,ram(GB),storage(GB),price(USD)
Samsung,3000,3,32,160.0
Samsung,3700,8,128,290.0
Lenovo,4000,4,64,200.0
Realme,4000,3,16,72.0
Realme,4045,6,64,270.0
Lenovo,4000,6,128,200.0
Huawei,3020,2,16,280.0
Honor,3750,8,128,400.0
Realme,3765,8,64,160.0
Huawei,4000,4,64,319.0
Huawei,4200,8,128,420.0
Oppo,4035,8,128,470.0
Xiaomi,4000,8,64,260.0
Lenovo,4050,6,64,190.0
Oppo,3765,8,64,100.0
Honor,4000,8,128,470.0
Xiaomi,4000,4,32,140.0
Oppo,4020,6,128,200.0
Google,3000,4,64,290.0
Google,3700,4,64,290.0
OnePlus,3700,6,128,400.0
OnePlus,4000,6,128,590.0
OnePlus,4000,6,128,800.0
Xiaomi,4000,3,16,130.0
Xiaomi,4000,8,64,400.0
Samsung,3500,6,64,400.0
Huawei,3500,8,128,220.0
Huawei,4000,4,64,670.0
Samsung,2800,3,32,380.0
Huawei,3500,8,128,280.0
LG,3500,3,32,550.0
Huawei,4000,8,128,280.0
LG,4000,4,32,110.0
LG,4050,4,64,130.0
LG,4000,3,32,200.0
Xiaomi,4000,6,64,460.0
Lenovo,4000,6,128,430.0
Samsung,3000,3,32,120.0
Huawei,4000,8,128,390.0
Xiaomi,4030,8,64,260.0
Xiaomi,4030,6,64,170.0
Xiaomi,4000,8,128,550.0
Realme,4230,4,32,96.0
Honor,4000,8,64,180.0
Lenovo,4000,8,64,160.0
Xiaomi,4030,6,64,230.0
Honor,4000,8,128,230.0
Huawei,4000,4,64,760.0
Samsung,3500,12,256,180.0
Samsung,4300,12,256,1100.0
LG,3500,3,32,200.0
LG,4000,3,32,190.0
LG,3000,1,16,160.0
LG,3000,2,16,100.0
Samsung,4300,12,256,590.0
Samsung,3500,8,256,80.0
Samsung,4000,3,32,260.0
Realme,4035,8,64,430.0
Realme,5000,4,32,190.0
Xiaomi,4000,8,64,325.38
Samsung,4000,4,32,700.0
Samsung,4000,6,64,590.0
Huawei,3750,8,128,260.0
Oppo,4000,8,128,270.0
