movie_id,title,release_year,rating,popularity,genres,poster_url,genre_clean
1790,Born Reckless,1958,3.4,0.8223,"['Western', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/zvqJrRPOQiGVycsNv1NHe9RLdYj.jpg,"['Western', 'Drama', 'Romance']"
1791,Terror from the Year 5000,1958,3.3,0.9478,['Science Fiction'],https://image.tmdb.org/t/p/w500/vXwPNIm4xl4U4OnTD9VUeADp7xY.jpg,['Science Fiction']
1792,The Defiant Ones,1958,7.143,0.992,"['Crime', 'Drama', 'Action', 'Adventure', 'Thriller']",https://image.tmdb.org/t/p/w500/tGGNyImEXgedDjrCORbC9cTJp0X.jpg,"['Crime', 'Drama', 'Action', 'Adventure', 'Thriller']"
1793,The Mugger,1958,5.6,0.8585,"['Drama', 'Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/8WBLWtbfdevsDdCSO862SMXSmpR.jpg,"['Drama', 'Thriller', 'Crime']"
1794,Behind the Mask,1958,6.0,0.8383,['Drama'],https://image.tmdb.org/t/p/w500/lkazY5KeDps8G3pPTYNYwMV9FSY.jpg,['Drama']
1795,The Great Achievement,1958,0.0,0.8832,['Documentary'],https://image.tmdb.org/t/p/w500/2ArgscfuA9S0DHjwfKNMdzLUGy1.jpg,['Documentary']
1796,Who's The Informant?,1958,0.0,0.8012,[],https://image.tmdb.org/t/p/w500/jTwewmTkMji22EFAsflFiJmJaQJ.jpg,[]
1797,The Thing That Couldn't Die,1958,5.1,0.8459,['Horror'],https://image.tmdb.org/t/p/w500/tBCBlmOAZnu6D4UEXxUhWTT6LOn.jpg,['Horror']
1798,The Space Children,1958,4.0,0.8591,['Science Fiction'],https://image.tmdb.org/t/p/w500/7TXlrL4dygamb70MXhddYeFRXgV.jpg,['Science Fiction']
1799,The Sheriff of Fractured Jaw,1958,6.4,0.8034,"['Western', 'Comedy']",https://image.tmdb.org/t/p/w500/v4isUD1Yjs4DbBacdVMyvFWn9e6.jpg,"['Western', 'Comedy']"
1800,Son of Robin Hood,1958,4.4,0.9146,['Adventure'],https://image.tmdb.org/t/p/w500/nnXuRRHYrN8LFf0KrAQhCLEcLpK.jpg,['Adventure']
1801,Ben-Hur,1959,7.888,11.5401,"['History', 'Drama', 'Adventure', 'Action']",https://image.tmdb.org/t/p/w500/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg,"['History', 'Drama', 'Adventure', 'Action']"
1802,Sleeping Beauty,1959,6.9,7.6194,"['Fantasy', 'Animation', 'Romance', 'Family']",https://image.tmdb.org/t/p/w500/dK4OZwFFxnfK7MvqfVqw94mavL7.jpg,"['Fantasy', 'Animation', 'Romance', 'Family']"
1803,North by Northwest,1959,7.983,6.7358,"['Thriller', 'Adventure']",https://image.tmdb.org/t/p/w500/kNOFPQrel9YFCVzI0DF8FnCEpCw.jpg,"['Thriller', 'Adventure']"
1804,Anatomy of a Murder,1959,7.846,5.2326,"['Crime', 'Drama', 'Mystery']",https://image.tmdb.org/t/p/w500/b2G1QSAwtBv9luhEwErIgSRaU92.jpg,"['Crime', 'Drama', 'Mystery']"
1805,Rio Bravo,1959,7.804,6.2741,['Western'],https://image.tmdb.org/t/p/w500/4gI4KKmoi0d3yfsF71YU3S0I5t8.jpg,['Western']
1806,Warlock,1959,6.7,4.2516,['Western'],https://image.tmdb.org/t/p/w500/3E5PnM2KQvZEYC7LlzlaBZl7NS9.jpg,['Western']
1807,Some Like It Hot,1959,8.1,5.3071,"['Comedy', 'Romance', 'Crime']",https://image.tmdb.org/t/p/w500/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,"['Comedy', 'Romance', 'Crime']"
1808,Day of the Outlaw,1959,6.827,2.7657,['Western'],https://image.tmdb.org/t/p/w500/js4P9y1gyU9bqrzE8s49gSNljQX.jpg,['Western']
1809,Boy of Two Worlds,1959,5.3,3.9551,"['Family', 'Drama']",https://image.tmdb.org/t/p/w500/wuROEpcVqx66BnDz8OJ9ZNLn8MC.jpg,"['Family', 'Drama']"
1810,Solomon and Sheba,1959,6.401,4.0169,"['History', 'Romance']",https://image.tmdb.org/t/p/w500/sQPLRT014vOADFyvh54TpXFyBPZ.jpg,"['History', 'Romance']"
1811,Good Morning,1959,7.716,3.7133,"['Comedy', 'Family', 'Drama']",https://image.tmdb.org/t/p/w500/dXy2LFsE0VlHlHJU3SLBdJgrzEq.jpg,"['Comedy', 'Family', 'Drama']"
1812,The Diary of Anne Frank,1959,7.2,3.8579,"['Drama', 'History']",https://image.tmdb.org/t/p/w500/i7kUdUAF9eTxQG7GdR6lKUK96En.jpg,"['Drama', 'History']"
1813,Pillow Talk,1959,7.128,3.4227,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/ugvyj5nl9QmTYuaGUTefVYBDePE.jpg,"['Comedy', 'Romance']"
1814,Operation Petticoat,1959,7.197,3.0336,"['Comedy', 'War', 'Romance']",https://image.tmdb.org/t/p/w500/pIsm8JvpFZidVxKexv5UgoCjwpZ.jpg,"['Comedy', 'War', 'Romance']"
1815,The Young Land,1959,6.4,2.0641,['Western'],https://image.tmdb.org/t/p/w500/sfBafWsaC2UNNfqgCR1EIzbGSjJ.jpg,['Western']
1816,Santa Claus,1959,6.9,2.2736,"['Family', 'Fantasy', 'Comedy']",https://image.tmdb.org/t/p/w500/4wI91ojyHnUaNJzYlaFRuhqkRCh.jpg,"['Family', 'Fantasy', 'Comedy']"
1817,The Giant Behemoth,1959,5.8,3.0696,['Science Fiction'],https://image.tmdb.org/t/p/w500/bOt8hqIipLjyiqjb4y4gklEwz5T.jpg,['Science Fiction']
1818,Pork Chop Hill,1959,6.5,2.8979,"['Drama', 'History', 'War']",https://image.tmdb.org/t/p/w500/88LF3thfIx1BDqa5aErseoFXz58.jpg,"['Drama', 'History', 'War']"
1819,The Nun's Story,1959,7.157,3.0111,['Drama'],https://image.tmdb.org/t/p/w500/4vNWFhPyjTehPpZsvTnTywwXSiF.jpg,['Drama']
1820,A Dog of Flanders,1959,6.2,1.5822,"['Drama', 'Family']",https://image.tmdb.org/t/p/w500/sf50zn1FhPxf8tvvlsYTYadkSAv.jpg,"['Drama', 'Family']"
1821,Battle in Outer Space,1959,5.8,2.7336,"['Science Fiction', 'Action']",https://image.tmdb.org/t/p/w500/dKAqyu8aiYlnmAHzOzJt69B6m20.jpg,"['Science Fiction', 'Action']"
1822,The Wasp Woman,1959,4.321,2.95,"['Science Fiction', 'Horror']",https://image.tmdb.org/t/p/w500/6yU5PuyeXX7EHG5d1AdWMforNfn.jpg,"['Science Fiction', 'Horror']"
1823,A Summer Place,1959,6.49,2.6583,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/escHRIldvNphvBnxMcn6ybaJId0.jpg,"['Drama', 'Romance']"
1824,Hiroshima Mon Amour,1959,7.706,2.9522,"['Drama', 'History', 'Romance']",https://image.tmdb.org/t/p/w500/vjP7eX9c0xUD5i5dTRaP3NYC8iN.jpg,"['Drama', 'History', 'Romance']"
1825,High School Big Shot,1959,3.2,1.4691,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/hykr4TX2E6kk6Jul8v2in7HrhfO.jpg,"['Crime', 'Drama']"
1826,The Four Skulls of Jonathan Drake,1959,5.9,1.581,"['Horror', 'Mystery']",https://image.tmdb.org/t/p/w500/pGuzdVXVKOkdURb2HGkVA8Yhzc4.jpg,"['Horror', 'Mystery']"
1827,Imitation of Life,1959,7.4,2.7428,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/oKyCtsYYkr37UV5GjhINltVQWGt.jpg,"['Drama', 'Romance']"
1828,The Louisiana Hussy,1959,4.3,1.7137,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/t8dbt3VXLHso0zLRqyIlxvnZ4tk.jpg,"['Crime', 'Drama']"
1829,The Great St. Louis Bank Robbery,1959,6.1,1.565,"['Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/zodT2zxrTpCTWZp1jrz2xNZhSq7.jpg,"['Crime', 'Thriller']"
1830,Carry On Nurse,1959,6.362,2.257,['Comedy'],https://image.tmdb.org/t/p/w500/5Na65YOj6s9HQM7e1YOhz0Upl13.jpg,['Comedy']
1831,The Beatniks,1959,2.526,2.8555,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/5ghqUJ9lh0wxoNxo69tIgR6hO6j.jpg,"['Drama', 'Crime']"
1832,The Human Condition I: No Greater Love,1959,8.1,2.6091,"['War', 'Drama', 'History']",https://image.tmdb.org/t/p/w500/q7godavx5XEbeVxEeqi4pmiOKdI.jpg,"['War', 'Drama', 'History']"
1833,The FBI Story,1959,6.122,2.3814,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/sRilzVuu6HuPhi5TFjqGoZfU9lH.jpg,"['Drama', 'Crime']"
1834,House on Haunted Hill,1959,6.776,2.6223,"['Horror', 'Mystery']",https://image.tmdb.org/t/p/w500/g5kdFt3piV3w1pG65W9sSToJ7HB.jpg,"['Horror', 'Mystery']"
1835,Ride Lonesome,1959,6.644,2.0933,['Western'],https://image.tmdb.org/t/p/w500/4fQW6hAFW0YrQXrDUaMweNI1SgQ.jpg,['Western']
1836,The Bat,1959,5.9,4.6425,"['Horror', 'Mystery', 'Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/78PVHYnadZ0e2BkBBSNonMZvViB.jpg,"['Horror', 'Mystery', 'Thriller', 'Crime']"
1837,The Tingler,1959,6.372,2.1422,"['Horror', 'Science Fiction']",https://image.tmdb.org/t/p/w500/jDuKIccxR0lsdWlYuWiu03hkwnN.jpg,"['Horror', 'Science Fiction']"
1838,Attack of the Giant Leeches,1959,4.2,2.1209,"['Horror', 'Science Fiction']",https://image.tmdb.org/t/p/w500/n3dAhWfWxsNQJ5ZUcn8Q3mW8EIP.jpg,"['Horror', 'Science Fiction']"
1839,I'm All Right Jack,1959,6.7,2.0389,['Comedy'],https://image.tmdb.org/t/p/w500/4HD25hdMIcFAd0MbGCFM8t7G0sO.jpg,['Comedy']
1840,Darby O'Gill and the Little People,1959,6.7,2.3061,"['Adventure', 'Family', 'Fantasy', 'Romance']",https://image.tmdb.org/t/p/w500/2SB5yYMIk3wIgkcJ3k2KwCrRtIB.jpg,"['Adventure', 'Family', 'Fantasy', 'Romance']"
1841,Island of Lost Women,1959,4.3,1.1927,"['Adventure', 'Science Fiction']",https://image.tmdb.org/t/p/w500/iKUtLCGrv30iHGaAOk1uLNd2lDU.jpg,"['Adventure', 'Science Fiction']"
1842,Night and Fog,1959,8.242,2.2007,"['Documentary', 'History']",https://image.tmdb.org/t/p/w500/2iWYQia8enOai7QEO3TvenleD7r.jpg,"['Documentary', 'History']"
1843,Floating Weeds,1959,7.5,2.184,['Drama'],https://image.tmdb.org/t/p/w500/nLepKtb48XSnPQNsuS4svbtNBY7.jpg,['Drama']
1844,Alias Jesse James,1959,5.9,1.8663,"['Comedy', 'Western']",https://image.tmdb.org/t/p/w500/9401kHeTLSsAMmwcrph7VkJP35x.jpg,"['Comedy', 'Western']"
1845,The Human Condition II: Road to Eternity,1959,8.2,2.0921,"['War', 'Drama', 'History']",https://image.tmdb.org/t/p/w500/7jfv1C4t06VGenQxf3HbmLVmUHZ.jpg,"['War', 'Drama', 'History']"
1846,Compulsion,1959,7.1,1.9482,"['Crime', 'Drama', 'History', 'Thriller']",https://image.tmdb.org/t/p/w500/fdYoG4uxbTbQ8Wv4BLxWiP7rrkm.jpg,"['Crime', 'Drama', 'History', 'Thriller']"
1847,The 400 Blows,1959,8.025,2.1598,['Drama'],https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg,['Drama']
1848,Never So Few,1959,5.4,1.8799,"['War', 'Drama', 'Adventure']",https://image.tmdb.org/t/p/w500/ix9ImZOS1KPedJSlyVfrhQQ2BK3.jpg,"['War', 'Drama', 'Adventure']"
1849,"Gigantis, the Fire Monster",1959,6.3,1.9913,"['Action', 'Horror', 'Science Fiction', 'Adventure']",https://image.tmdb.org/t/p/w500/6YcIEhXzMSuNdrooBUsO3mZK8rT.jpg,"['Action', 'Horror', 'Science Fiction', 'Adventure']"
1850,The Head,1959,5.0,1.0203,"['Science Fiction', 'Horror']",https://image.tmdb.org/t/p/w500/w70cQkZlO22CpLI1uhZX49ck2hE.jpg,"['Science Fiction', 'Horror']"
1851,Return of the Fly,1959,6.09,1.9585,"['Horror', 'Science Fiction']",https://image.tmdb.org/t/p/w500/a6w010kxAZfr0wsW7OiZgvkMwtN.jpg,"['Horror', 'Science Fiction']"
1852,The Shaggy Dog,1959,6.1,2.0666,"['Comedy', 'Family', 'Fantasy']",https://image.tmdb.org/t/p/w500/x0fTvnnRIZNyTne2BrcS8I5X20e.jpg,"['Comedy', 'Family', 'Fantasy']"
1853,Journey to the Center of the Earth,1959,6.9,2.453,"['Adventure', 'Fantasy', 'Family']",https://image.tmdb.org/t/p/w500/nWn9MRFkC1M13hVf17mT0BfYKbg.jpg,"['Adventure', 'Fantasy', 'Family']"
1854,Cuban Rebel Girls,1959,2.0,1.1221,"['Adventure', 'Drama', 'War']",https://image.tmdb.org/t/p/w500/zquNWMEbsAk4wAJLCNAbmybzbrE.jpg,"['Adventure', 'Drama', 'War']"
1855,The Hanging Tree,1959,6.727,1.9413,['Western'],https://image.tmdb.org/t/p/w500/cABsWJB3DBq5n2U7gl4vx0K88p7.jpg,['Western']
1856,Beloved Infidel,1959,6.386,1.7905,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/6ABKWW1tklOiP3oWaF2GVBcczgz.jpg,"['Drama', 'Romance']"
1857,Nazarin,1959,7.664,1.792,['Drama'],https://image.tmdb.org/t/p/w500/7W2hnPt4glMnaxJU33wAjKyf7lc.jpg,['Drama']
1858,Al Capone,1959,6.6,1.7205,"['Action', 'Adventure', 'Crime', 'Drama']",https://image.tmdb.org/t/p/w500/xmtLUojTRYTswWEx7U9lWjZeZtx.jpg,"['Action', 'Adventure', 'Crime', 'Drama']"
1859,The Bridge,1959,7.486,2.2699,"['Drama', 'History', 'War']",https://image.tmdb.org/t/p/w500/jCg5NqSdUFB1S6iJu3jyXwHOE8d.jpg,"['Drama', 'History', 'War']"
1860,The Killer Shrews,1959,4.3,3.8312,"['Horror', 'Science Fiction']",https://image.tmdb.org/t/p/w500/2agTmqPg2we1gd4Fr1p2UNAMORI.jpg,"['Horror', 'Science Fiction']"
1861,The Young Philadelphians,1959,7.5,1.7006,['Drama'],https://image.tmdb.org/t/p/w500/5OHKvcn4OukLHp8yC7E15mwGjIA.jpg,['Drama']
1862,Plan 9 from Outer Space,1959,4.198,2.8191,"['Science Fiction', 'Horror']",https://image.tmdb.org/t/p/w500/bmicZi7PvlnZ9rZqp6QXN2Db0pT.jpg,"['Science Fiction', 'Horror']"
1863,Ballad of a Soldier,1959,8.005,1.6817,"['Drama', 'Romance', 'War']",https://image.tmdb.org/t/p/w500/9teeqzdIgPkWsykRapYkqhdefmm.jpg,"['Drama', 'Romance', 'War']"
1864,The Incredible Petrified World,1959,3.4,1.6153,"['Adventure', 'Science Fiction', 'Thriller']",https://image.tmdb.org/t/p/w500/qns5oUzhUTGcPyeNyaM3DwBrwdC.jpg,"['Adventure', 'Science Fiction', 'Thriller']"
1865,Pickpocket,1959,7.272,1.777,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/kxpvceDv9fhFc4OAs82fmdzu17Y.jpg,"['Crime', 'Drama']"
1866,A Bucket of Blood,1959,6.541,1.4383,"['Comedy', 'Horror']",https://image.tmdb.org/t/p/w500/fUZqTNinLruI6ZE7GQprY8t0Uwg.jpg,"['Comedy', 'Horror']"
1867,Porgy and Bess,1959,6.1,1.5219,"['Music', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/g4zwlj8bgRYsUoF0VEwPEgldCvn.jpg,"['Music', 'Drama', 'Romance']"
1868,Air Hostess,1959,4.8,1.795,"['Romance', 'Music']",https://image.tmdb.org/t/p/w500/bgDsWER234YSeDcV56wyWYrbJfA.jpg,"['Romance', 'Music']"
1869,Tiger Bay,1959,7.2,1.8426,"['Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/e0YIUi2UsXT0Q9MvDT5EWfVK3aq.jpg,"['Thriller', 'Crime']"
1870,Odds Against Tomorrow,1959,6.7,1.5434,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/z5941aC7ttyY2gUfyKZfXVq11Sg.jpg,"['Crime', 'Drama', 'Thriller']"
1871,Checkerboard,1959,6.0,2.3474,['Drama'],https://image.tmdb.org/t/p/w500/jwcYrxe0jnzpBCY27Ufu6K3lDYl.jpg,['Drama']
