title,release_year,rating,popularity,genres,poster_url
Orpheus,1950,7.6,1.5433,"['Romance', 'Fantasy']",https://image.tmdb.org/t/p/w500/wcUmMtipWBBx7lpsfpPsUM4Snh1.jpg
Destination Moon,1950,5.9,1.3704,"['Science Fiction', 'Adventure', 'Drama']",https://image.tmdb.org/t/p/w500/2dsJUooqTX5BkOmkfnuuFlkmbB6.jpg
Buccaneer's Girl,1950,5.6,1.2896,"['Adventure', 'Comedy', 'Action', 'Romance']",https://image.tmdb.org/t/p/w500/nrbMsOXZvFQfwE8bzlsrlt9Z9DG.jpg
Singing Guns,1950,5.8,1.3222,['Western'],https://image.tmdb.org/t/p/w500/dsOVwbGqgZ6dqWHEZfOzMLJTaRy.jpg
The Underworld Story,1950,6.1,1.3302,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/7ElO0mVXiN2Yqjbid2mzC2IX1Ii.jpg
Annie Get Your Gun,1950,6.8,1.2621,"['Music', 'Comedy', 'Romance', 'Western']",https://image.tmdb.org/t/p/w500/c2ZLeqZVI2FYctcrFwm5C86zkLH.jpg
The Sundowners,1950,5.4,3.7413,"['Action', 'Western']",https://image.tmdb.org/t/p/w500/kbAz3ih1cjucAWX9p5eWS4xjtGO.jpg
Summer Stock,1950,6.7,1.2234,"['Music', 'Romance']",https://image.tmdb.org/t/p/w500/akCdZrlDIoIRXbL8rZOoHFxSkWY.jpg
The Outriders,1950,6.9,1.414,['Western'],https://image.tmdb.org/t/p/w500/tj4rnCtmu7vbvlWMJA9sFDThPJK.jpg
Backfire,1950,5.8,1.2617,"['Mystery', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/2qPDrYCedMnhiuXNedlzAYd2pRK.jpg
This Side of the Law,1950,4.8,1.2487,['Crime'],https://image.tmdb.org/t/p/w500/rn9u9XzDNagh1KFmWjWhAGt69IW.jpg
No Sad Songs for Me,1950,6.2,1.214,['Drama'],https://image.tmdb.org/t/p/w500/t8a0rQq2CjzqtgnEutvetR3Vil.jpg
A Wonderful Life,1950,0.0,2.5139,['Drama'],
Copper Canyon,1950,5.3,1.2518,['Western'],https://image.tmdb.org/t/p/w500/wx7ZKQmtPk9MCDbLLtwPj2D8Hpg.jpg
Kiss Tomorrow Goodbye,1950,6.8,1.4655,"['Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/g5kLnnT7prY9WNPvedHMuh9QsIt.jpg
A Life of Her Own,1950,5.3,1.1675,['Drama'],https://image.tmdb.org/t/p/w500/msKQceHxcDhCUT88WHa4ajkd7w4.jpg
Rio Grande,1950,6.8,1.3084,['Western'],https://image.tmdb.org/t/p/w500/zYoK2RkBCmyhIV6UUb6EZLqxmZq.jpg
Born to Be Bad,1950,5.885,1.4186,['Drama'],https://image.tmdb.org/t/p/w500/tGpviqO04uPH3WUo1MjbWtOsdaH.jpg
Edge of Doom,1950,5.9,1.1413,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/ctWWBKph5z5KEZIwetYSmULUPga.jpg
Bud Abbott and Lou Costello in the Foreign Legion,1950,6.1,1.4877,"['Comedy', 'Adventure']",https://image.tmdb.org/t/p/w500/5UiAkJV2YTtPsIs29G0W8MPkXbB.jpg
Convicted,1950,6.268,1.1219,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/ctvgqu3CDRjlkFW31agzexqSr2V.jpg
California Passage,1950,4.0,1.14,['Western'],https://image.tmdb.org/t/p/w500/qw6FZKs6iYmec3yvdX8gxsKogbC.jpg
Dallas,1950,6.4,1.1626,['Western'],https://image.tmdb.org/t/p/w500/szVFvCur0ZMpvu2wSICtZKxHmMq.jpg
The Great Jewel Robber,1950,7.2,1.2772,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/9vcEwbVqMFJiebZLUHryJNz7SPW.jpg
The Cariboo Trail,1950,6.3,1.2253,['Western'],https://image.tmdb.org/t/p/w500/iTTY8vHk034q4inHual8ExIEKUn.jpg
711 Ocean Drive,1950,6.3,1.1181,['Crime'],https://image.tmdb.org/t/p/w500/nRTfhyRPFW2f3RPi8PgjQE9t3Pt.jpg
Guilty Bystander,1950,5.5,1.2483,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/4Kc1ILzvZq4HsbqlfHDwiUd9RBw.jpg
Under Mexicali Stars,1950,0.0,1.1845,['Western'],https://image.tmdb.org/t/p/w500/4SEebIn7phHw1JN7S53wcBEoRQR.jpg
The Asphalt Jungle,1950,7.5,1.5846,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/8xsUnT0P2fJWQv9jGDhs3i9Zx2l.jpg
"Walk Softly, Stranger",1950,5.0,1.1967,"['Crime', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/iWA8WTamFe1JYvlmIav0TRDI7Sw.jpg
Three Secrets,1950,6.4,1.2768,['Drama'],https://image.tmdb.org/t/p/w500/1KtDxzQ1MUKlCCfcNP9UcS4MHId.jpg
Fancy Pants,1950,5.647,1.1883,"['Music', 'Comedy', 'Western']",https://image.tmdb.org/t/p/w500/zGdQJlatFeexcPU82UTSnnq9jns.jpg
Outside the Wall,1950,6.0,1.1082,"['Crime', 'Drama', 'Romance', 'Thriller']",https://image.tmdb.org/t/p/w500/tRpd8Q6vIiB6byGxlQx76rD3HYY.jpg
Mister 880,1950,6.9,1.1596,"['Comedy', 'Crime', 'Romance']",https://image.tmdb.org/t/p/w500/aEYs8GpSqpssqPWaIS9XXOBeY8o.jpg
Force of Evil,1950,6.567,1.1271,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/x33LVKf4yWdjMeczJkzE5sIw4VG.jpg
Shadow on the Wall,1950,6.6,1.2199,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/qzySAC336zcypJzWjQ7TWi62Ayr.jpg
The Lawless,1950,5.8,1.083,['Drama'],https://image.tmdb.org/t/p/w500/zHR5In7twLfpuEOp6NGmgJN54un.jpg
Woman in Hiding,1950,6.2,1.1977,"['Thriller', 'Crime', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/aL8gaVJvBPDZZ9Wi0Oc54CcWXpj.jpg
Bells of Coronado,1950,5.2,1.0791,['Western'],https://image.tmdb.org/t/p/w500/bqcD35J48Yez4CvdUUdLFolAyhK.jpg
Louisa,1950,6.1,1.1274,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/uCKk9zNsULb9FufeLGgFq0gCYfj.jpg
Harriet Craig,1950,7.5,1.3038,['Drama'],https://image.tmdb.org/t/p/w500/zrwq0en5FxedV2scMS7i9teDKVt.jpg
Night and the City,1950,7.5,1.2649,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/2NBmzm8z5fd283eWeECkPrkwta8.jpg
The Desert Hawk,1950,5.1,1.1351,"['Action', 'Adventure']",https://image.tmdb.org/t/p/w500/bAqyfThTaaz38d7x9DcUhpbqu2Z.jpg
Comanche Territory,1950,4.8,1.3025,['Western'],https://image.tmdb.org/t/p/w500/1M1OKZ5vAsg4m7dHzQtJB8hrYGM.jpg
The Reformer and the Redhead,1950,6.3,1.2542,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/1IgYv0tkJYf5JhU7TsGnRa2CUSQ.jpg
Our Very Own,1950,5.7,1.1002,['Drama'],https://image.tmdb.org/t/p/w500/pXbZVZVQUOLGtbLr2ezuDvJfX1B.jpg
