brand,battery,ram(GB),storage(GB),price(USD),price_category,brand_encoded,Cluster
Apple,-2.105650429831155,-1.3440358900944822,-0.5988957003193723,-0.23025375658349512,Sedang,0,8
Oppo,-1.4940265073524794,-0.9771566103774622,-0.5988957003193723,-0.3039462176299943,Sedang,7,8
Oppo,-1.4940265073524794,-0.2433980509434221,-1.0217254361013284,-0.7092547533857397,Murah,7,8
Sony,-2.2269642656946935,-1.3440358900944822,-1.2331403039923066,-0.6429315384438905,Sedang,10,4
Huawei,-0.4830778751563218,-0.2433980509434221,-0.5988957003193723,-0.7092547533857397,Murah,3,3
Huawei,-0.4830778751563218,-0.9771566103774622,-0.5988957003193723,-0.598716061815991,Sedang,3,3
Samsung,-3.010449455646716,-2.0777944495285223,-1.3388477379377954,0.5803633149279959,Mahal,9,4
Huawei,-1.317110496718152,-0.9771566103774622,-0.5988957003193723,-0.15656129553699594,Sedang,3,0
Huawei,-0.4830778751563218,-0.2433980509434221,1.9380827143723642,-0.5618698312927414,Sedang,3,3
Google,-2.125869402475078,-0.9771566103774622,-0.5988957003193723,0.9856718506837413,,1,4
Google,-1.0896470544740164,-0.9771566103774622,-0.5988957003193723,0.654055775974495,,1,0
Xiaomi,-1.645668802181903,-0.9771566103774622,-1.0217254361013284,-0.7461009839089894,Murah,12,8
Oppo,-1.4940265073524794,-0.9771566103774622,-1.0217254361013284,0.21190100969549994,Mahal,7,8
Oppo,-0.4830778751563218,-0.2433980509434221,-0.5988957003193723,-0.11971506501374635,Mahal,7,3
Xiaomi,-1.645668802181903,-1.7109151698115024,-1.2331403039923066,-0.9303321365252373,Murah,12,8
Lenovo,3.3079794955792696,-1.7109151698115024,-1.0217254361013284,-0.6355622923392406,Sedang,5,2
Xiaomi,-1.7467636654015188,-1.3440358900944822,-1.2331403039923066,-0.8934859060019876,Murah,12,8
Huawei,-1.317110496718152,-0.2433980509434221,-0.5988957003193723,-0.41448490919974307,Sedang,3,0
Xiaomi,-1.3676579283279597,-0.9771566103774622,-1.2331403039923066,-0.6724085228624902,Sedang,12,0
Lenovo,-1.7467636654015188,-1.3440358900944822,-1.2331403039923066,-0.5250236007694918,Sedang,5,8
Huawei,-1.7467636654015188,-0.9771566103774622,-1.0217254361013284,0.39613216231174786,Mahal,3,8
Samsung,-1.7467636654015188,-0.9771566103774622,-1.0217254361013284,-0.41448490919974307,Sedang,9,8
Samsung,-1.1149207702789203,-0.2433980509434221,-1.0217254361013284,-0.8197934449554886,Murah,9,0
Honor,-1.7467636654015188,-0.9771566103774622,-1.0217254361013284,-0.5618698312927414,Sedang,2,8
Sony,-1.0138259070593045,-0.9771566103774622,-1.0217254361013284,-0.3039462176299943,Sedang,10,0
Oppo,-1.5193002231573833,-0.9771566103774622,-1.2331403039923066,0.5803633149279959,Mahal,7,8
Sony,-1.3676579283279597,-1.3440358900944822,-1.0217254361013284,-0.5250236007694918,Sedang,10,0
LG,-2.492338281646185,-1.7109151698115024,-1.2331403039923066,-0.5250236007694918,Sedang,4,4
LG,-1.7467636654015188,-1.7109151698115024,-1.0217254361013284,0.5803633149279959,Mahal,4,8
Samsung,-2.2522379814995976,-1.7109151698115024,-1.2331403039923066,-0.3407924481532439,Sedang,9,4
Sony,-1.3676579283279597,-1.3440358900944822,-1.0217254361013284,-0.7461009839089894,Murah,10,0
Sony,-1.9110428181333945,-0.9771566103774622,-0.5988957003193723,0.3224397012652487,Mahal,10,8
LG,-1.3676579283279597,-0.2433980509434221,0.24676377124453994,-0.8934859060019876,Murah,4,0
LG,-1.7467636654015188,-1.3440358900944822,-1.2331403039923066,-0.7461009839089894,Murah,4,8
Xiaomi,-0.4830778751563218,-0.9771566103774622,-1.0217254361013284,-0.598716061815991,Sedang,12,3
Oppo,-1.7467636654015188,-1.3440358900944822,-1.2331403039923066,-0.23025375658349512,Sedang,7,8
LG,-2.3786065605241173,-1.7109151698115024,-1.2331403039923066,-1.0040245975717363,Murah,4,4
Xiaomi,-0.4830778751563218,-0.2433980509434221,-0.5988957003193723,-0.598716061815991,Sedang,12,3
Samsung,-1.7467636654015188,-0.9771566103774622,-0.5988957003193723,-0.15656129553699594,Sedang,9,8
Samsung,-1.1149207702789203,-0.2433980509434221,-0.5988957003193723,-0.8197934449554886,Murah,9,0
Sony,-1.5193002231573833,-0.2433980509434221,-0.5988957003193723,0.06451608760250159,Mahal,10,8
Xiaomi,-1.24128934930344,0.490360508490618,-0.5988957003193723,-0.2670999871067447,Sedang,12,0
Xiaomi,-0.4830778751563218,-0.2433980509434221,-1.0217254361013284,-0.598716061815991,Sedang,12,3
Oppo,-1.5193002231573833,-0.9771566103774622,-1.0217254361013284,-0.598716061815991,Sedang,7,8
Oppo,-1.1781050597911802,0.490360508490618,0.24676377124453994,0.39613216231174786,Mahal,7,0
Oppo,-1.203378775596084,-0.2433980509434221,0.24676377124453994,-0.08286883449049676,Mahal,7,0
Samsung,-1.3676579283279597,-1.3440358900944822,-1.0217254361013284,0.10136231812575118,Mahal,9,0
Huawei,-0.4830778751563218,-0.9771566103774622,-1.0217254361013284,0.9488256201604917,,3,3
Lenovo,-1.7467636654015188,-1.3440358900944822,-1.2331403039923066,-0.7092547533857397,Murah,5,8
Lenovo,-1.7467636654015188,-1.3440358900944822,-1.0217254361013284,-0.7092547533857397,Murah,5,8
Huawei,-1.7467636654015188,-1.7109151698115024,-1.2331403039923066,-0.5250236007694918,Sedang,3,8
Lenovo,-1.7467636654015188,-0.9771566103774622,-1.0217254361013284,-0.41448490919974307,Sedang,5,8
Huawei,-1.7467636654015188,-0.9771566103774622,-1.0217254361013284,-0.6355622923392406,Sedang,3,8
